MOvie Name,Rating,Years Released,Duration
The Shawshank Redemption,9.3,(1994),142 min
The Godfather,9.2,(1972),175 min
The Dark Knight,9.0,(2008),152 min
The Godfather: Part II,9.0,(1974),202 min
Pulp Fiction,8.9,(1994),154 min
The Lord of the Rings: The Return of the King,8.9,(2003),201 min
Schindler's List,8.9,(1993),195 min
12 Angry Men,8.9,(1957),96 min
"Il buono, il brutto, il cattivo",8.9,(1966),161 min
The Lord of the Rings: The Fellowship of the Ring,8.8,(2001),178 min
Inception,8.8,(2010),148 min
Fight Club,8.8,(1999),139 min
Forrest Gump,8.8,(1994),142 min
Star Wars: Episode V - The Empire Strikes Back,8.8,(1980),124 min
Star Wars,8.7,(1977),121 min
The Matrix,8.7,(1999),136 min
The Lord of the Rings: The Two Towers,8.7,(2002),179 min
Goodfellas,8.7,(1990),146 min
One Flew Over the Cuckoo's Nest,8.7,(1975),133 min
Shichinin no samurai,8.7,(1954),207 min
Interstellar,8.6,(2014),169 min
The Silence of the Lambs,8.6,(1991),118 min
The Usual Suspects,8.6,(1995),106 min
Léon,8.6,(1994),110 min
Se7en,8.6,(1995),127 min
Saving Private Ryan,8.6,(1998),169 min
Sen to Chihiro no kamikakushi,8.6,(2001),125 min
Dangal,8.6,(2016),161 min
Cidade de Deus,8.6,(2002),130 min
The Intouchables,8.6,(2011),112 min
La vita è bella,8.6,(1997),116 min
It's a Wonderful Life,8.6,(1946),130 min
Once Upon a Time in the West,8.6,(1968),164 min
City Lights,8.6,(1931),87 min
The Lion King,8.5,(1994),88 min
The Departed,8.5,(2006),151 min
Kimi no na wa.,8.5,(2016),106 min
Back to the Future,8.5,(1985),116 min
The Prestige,8.5,(2006),130 min
Whiplash,8.5,(2014),107 min
Apocalypse Now,8.5,(1979),147 min
Gladiator,8.5,(2000),155 min
The Green Mile,8.5,(1999),189 min
Alien,8.5,(1979),117 min
Psycho,8.5,(1960),109 min
American History X,8.5,(1998),119 min
Memento,8.5,(2000),113 min
Terminator 2: Judgment Day,8.5,(1991),137 min
Raiders of the Lost Ark,8.5,(1981),115 min
The Pianist,8.5,(2002),150 min
